pid,sid,eHMI,yielding,angle,traffic_flow,psid,gender,age,education,dominant_hand,walk_frequency,vr_frequency,as_familiarity,as_experience,ms_score_n,ms_score_o,ms_score_d,ms_score_ts,pq_score_inv,pq_score_sen,pq_score_int,pq_score_imm,pq_score,trust_score,v_score,l_score,p_score,cluster
10,1,0,0,1,0,10_1,0,27,3,1,5,1,2,1,9.64,7.58,55.68,225.4632,6.25,6.333333333333333,3.3333333333333335,6.75,177.0,5.0,1.25,1.0,4.0,1
10,2,0,0,0,2,10_2,0,27,3,1,5,1,2,1,9.64,7.58,55.68,225.4632,6.25,6.333333333333333,3.3333333333333335,6.75,177.0,5.0,1.25,1.0,4.0,1
10,4,1,0,2,0,10_4,0,27,3,1,5,1,2,1,9.64,7.58,55.68,225.4632,6.25,6.333333333333333,3.3333333333333335,6.75,177.0,5.0,1.25,1.0,4.0,1
10,5,1,1,1,1,10_5,0,27,3,1,5,1,2,1,9.64,7.58,55.68,225.4632,6.25,6.333333333333333,3.3333333333333335,6.75,177.0,5.0,1.25,1.0,4.0,1
10,6,0,1,0,0,10_6,0,27,3,1,5,1,2,1,9.64,7.58,55.68,225.4632,6.25,6.333333333333333,3.3333333333333335,6.75,177.0,5.0,1.25,1.0,4.0,1
10,7,1,0,1,1,10_7,0,27,3,1,5,1,2,1,9.64,7.58,55.68,225.4632,6.25,6.333333333333333,3.3333333333333335,6.75,177.0,5.0,1.25,1.0,4.0,1
10,8,0,0,2,0,10_8,0,27,3,1,5,1,2,1,9.64,7.58,55.68,225.4632,6.25,6.333333333333333,3.3333333333333335,6.75,177.0,5.0,1.25,1.0,4.0,1
10,9,1,1,0,2,10_9,0,27,3,1,5,1,2,1,9.64,7.58,55.68,225.4632,6.25,6.333333333333333,3.3333333333333335,6.75,177.0,5.0,1.25,1.0,4.0,1
10,10,1,1,0,1,10_10,0,27,3,1,5,1,2,1,9.64,7.58,55.68,225.4632,6.25,6.333333333333333,3.3333333333333335,6.75,177.0,5.0,1.25,1.0,4.0,1
10,11,0,0,1,2,10_11,0,27,3,1,5,1,2,1,9.64,7.58,55.68,225.4632,6.25,6.333333333333333,3.3333333333333335,6.75,177.0,5.0,1.25,1.0,4.0,1
